币种,最小下单量
DAIBUSD,0.01000000
RUNEBUSD,0.10000000
MANABUSD,1.00000000
DOGEBUSD,1.00000000
LENDBUSD,0.01000000
ZRXBUSD,1.00000000
DCR-USDT,0.00100000
STORJ-USDT,1.00000000
AUDBUSD,1.00000000
FIOBUSD,1.00000000
BNBUP-USDT,0.01000000
BNBDOWN-USDT,0.01000000
XTZUP-USDT,0.01000000
XTZDOWN-USDT,0.01000000
AVABUSD,0.10000000
IOTABUSD,1.00000000
MANA-USDT,1.00000000
AUD-USDT,1.00000000
BALBUSD,0.01000000
YFIBUSD,0.00001000
YFI-USDT,0.00001000
BLZBUSD,1.00000000
KMDBUSD,0.01000000
BAL-USDT,0.01000000
BLZ-USDT,1.00000000
IRIS-USDT,0.10000000
KMD-USDT,1.00000000
JSTBUSD,0.10000000
JST-USDT,0.10000000
SRMBUSD,0.10000000
SRM-USDT,0.10000000
ANTBUSD,0.10000000
ANT-USDT,0.10000000
CRVBUSD,0.10000000
CRV-USDT,0.10000000
SAND-USDT,1.00000000
SANDBUSD,1.00000000
OCEANBUSD,1.00000000
OCEAN-USDT,1.00000000
NMRBUSD,0.01000000
NMR-USDT,0.01000000
DOTBUSD,0.01000000
DOT-USDT,0.01000000
LUNABUSD,0.01000000
LUNA-USDT,0.01000000
IDEXBUSD,0.10000000
RSRBUSD,0.10000000
RSR-USDT,0.10000000
PAXGBUSD,0.00010000
PAXG-USDT,0.00010000
WNXMBUSD,0.00100000
WNXM-USDT,0.01000000
TRBBUSD,0.01000000
TRB-USDT,0.00100000
BZRXBUSD,1.00000000
BZRX-USDT,1.00000000
SUSHIBUSD,0.10000000
SUSHI-USDT,0.10000000
YFIIBUSD,0.00010000
YFII-USDT,0.00010000
KSMBUSD,0.00100000
KSM-USDT,0.00100000
EGLDBUSD,0.01000000
EGLD-USDT,0.01000000
DIABUSD,0.10000000
DIA-USDT,0.10000000
RUNE-USDT,0.10000000
FIO-USDT,1.00000000
UMA-USDT,0.10000000
EOSUP-USDT,0.01000000
EOSDOWN-USDT,0.01000000
TRXUP-USDT,0.01000000
TRXDOWN-USDT,0.01000000
XRPUP-USDT,0.01000000
XRPDOWN-USDT,0.01000000
DOTUP-USDT,0.01000000
DOTDOWN-USDT,0.01000000
BELBUSD,0.10000000
BEL-USDT,0.10000000
SWRVBUSD,1.00000000
WINGBUSD,0.01000000
WING-USDT,0.01000000
LTCUP-USDT,0.01000000
LTCDOWN-USDT,0.01000000
CREAMBUSD,0.00100000
UNIBUSD,0.01000000
UNI-USDT,0.01000000
NBS-USDT,0.10000000
OXT-USDT,1.00000000
SUN-USDT,1.00000000
AVAXBUSD,0.01000000
AVAX-USDT,0.01000000
HNT-USDT,0.01000000
FLMBUSD,1.00000000
FLM-USDT,1.00000000
CAKEBUSD,0.01000000
UNIUP-USDT,0.01000000
UNIDOWN-USDT,0.01000000
ORN-USDT,0.10000000
UTK-USDT,1.00000000
XVSBUSD,0.01000000
XVS-USDT,0.01000000
ALPHABUSD,1.00000000
ALPHA-USDT,1.00000000
VIDTBUSD,1.00000000
AAVEBUSD,0.00100000
AAVE-USDT,0.00100000
NEARBUSD,0.10000000
NEAR-USDT,0.10000000
SXPUP-USDT,0.01000000
SXPDOWN-USDT,0.01000000
FILBUSD,0.01000000
FIL-USDT,0.01000000
FILUP-USDT,0.01000000
FILDOWN-USDT,0.01000000
YFIUP-USDT,0.01000000
YFIDOWN-USDT,0.01000000
INJBUSD,0.10000000
INJ-USDT,0.01000000
AERGOBUSD,1.00000000
ONEBUSD,0.10000000
AUDIOBUSD,0.10000000
AUDIO-USDT,0.10000000
CTKBUSD,0.10000000
CTK-USDT,0.10000000
BCHUP-USDT,0.01000000
BCHDOWN-USDT,0.01000000
BOTBUSD,0.00001000
AKRO-USDT,1.00000000
KP3RBUSD,0.01000000
AXSBUSD,0.01000000
AXS-USDT,0.01000000
HARDBUSD,1.00000000
HARD-USDT,1.00000000
DNTBUSD,1.00000000
DNT-USDT,1.00000000
CVPBUSD,0.10000000
STRAXBUSD,0.10000000
STRAX-USDT,1.00000000
FORBUSD,0.10000000
UNFIBUSD,0.10000000
UNFI-USDT,0.10000000
FRONTBUSD,1.00000000
BCHABUSD,0.00100000
ROSEBUSD,0.10000000
ROSE-USDT,0.10000000
AVA-USDT,0.10000000
SYSBUSD,1.00000000
XEM-USDT,1.00000000
HEGICBUSD,1.00000000
AAVEUP-USDT,0.01000000
AAVEDOWN-USDT,0.01000000
PROMBUSD,0.01000000
SKLBUSD,1.00000000
SKL-USDT,1.00000000
SUSD-USDT,0.10000000
COVERBUSD,0.00100000
GHSTBUSD,0.10000000
SUSHIUP-USDT,0.01000000
SUSHIDOWN-USDT,0.01000000
XLMUP-USDT,0.01000000
XLMDOWN-USDT,0.01000000
DFBUSD,1.00000000
GRT-USDT,1.00000000
JUVBUSD,0.01000000
JUV-USDT,0.01000000
PSGBUSD,0.01000000
PSG-USDT,0.01000000
1INCH-USDT,0.10000000
REEF-USDT,1.00000000
OG-USDT,0.10000000
ATM-USDT,0.01000000
ASR-USDT,0.10000000
CELO-USDT,0.10000000
RIF-USDT,1.00000000
BTCSTBUSD,0.01000000
BTCST-USDT,0.01000000
TRUBUSD,0.01000000
TRU-USDT,1.00000000
DEXEBUSD,0.01000000
USDCBUSD,0.01000000
TUSDBUSD,1.00000000
PAXBUSD,0.10000000
CKBBUSD,1.00000000
CKB-USDT,1.00000000
TWTBUSD,1.00000000
TWT-USDT,1.00000000
FIRO-USDT,0.10000000
LITBUSD,0.10000000
LIT-USDT,0.10000000
SFPBUSD,1.00000000
SFP-USDT,1.00000000
FXSBUSD,0.10000000
DODOBUSD,0.10000000
DODO-USDT,0.10000000
CAKE-USDT,0.01000000
BAKEBUSD,0.10000000
UFTBUSD,1.00000000
1INCHBUSD,0.10000000
BANDBUSD,0.10000000
